"Present name of the feature";"Value type";"Former name of the feature (indication)";"Other names of feature (indic.)";"Classes where feature is encoded (indic.)";"Description of the feature";"Example(s) illustrating the feature";"Description de la propriété"
"Loc N3 =: dans N3 destination";"binary";"Prép =: dans";;", 32PL, 38L, 38LH";"The preposition of a locative object Loc N3, interpreted as a destination, can be dans";"Le maître attroupe les enfants dans la cour ; On a interné Alex dans un asile";"La préposition de l'objet locatif Loc N3, interprété comme une destination, peut être dans"
"Loc N3 =: sur lui1-même";"binary";"sur lui-même";;", 38L";"A locative object Loc N3 can take the form sur lui-même, where the pronoun lui is coreferent to an object N1";"Paul a basculé l'armoire sur elle-même";"L'objet locatif Loc N3 peut prendre la forme sur lui-même, où le pronom lui est coréférent à l'objet N1 "
"Loc N3 =: sur N3 destination";"binary";"Prép =: sur";;", 32PL, 38L, 38LH";"The preposition of a locative object Loc N3, interpreted as a destination, can be sur";"Max dépose Luc sur la place ; Paul concentre les rayons sur la cible";"La préposition de l'objet locatif Loc N3, interprété comme une destination, peut être sur"
"Loc N3 =: vers N3";"binary";"Prép =: vers";;", 38LS";"The preposition of a locative object Loc N3 can be vers with a directional interpretation";"On draine l'eau vers le canal";"La préposition de l'objet locatif Loc N3 peut être vers avec un sens directionnel"
"Loc N3 =: vers N3 destination";"binary";"Prép =: vers";;", 38LH";"The preposition of a locative object Loc N3, interpreted as a destination, can be vers with a directional interpretation";"Le général a replié ses soldats vers la plaine";"La préposition de l'objet locatif Loc N3, interprété comme une destination, peut être vers avec un sens directionnel"
"N0 (E+Ppv) V (Prép+Prép-adv)";"binary";" ";;", 35R";"Anaphorical erasement or clitic pronominalization of an object N1 with conservation of Prép or modification of Prép into an adverbial form";"Luc court après les honneurs = Luc court après ; Luc court après Marie = Luc lui court après ; On a rogné sur le budget = On a rogné dessus";"Effacement anaphorique ou pronominalisation clitique de l'objet N1 avec conservation de Prép ou sa modification sous une forme adverbiale"
"N0 =: chemin";"binary";"N0 =: chemin";;", 35ST, 38L1";"The subject can denote a path, in a sentence that describes a stative situation where a person or thing can travel through the path";"La jetée avance dans la mer ; La route longe la rivière";"Le sujet peut dénoter un chemin, dans une phrase qui décrit une situation statique dans laquelle une personne ou une chose peut effectuer un trajet sur ce chemin"
"N0 =: idée, (N1+N2) =: esprit";"binary";"cette idée V Loc son esprit";;", 35L ";"The subject can denote an idea and the locative object noted N1 or N2 a person's mind; the sentence has a metaphorical meaning";"L'idée de s'en aller filtrait dans son esprit";"Le sujet peut dénoter une idée et l'objet locatif noté N1 ou N2 l'esprit d'une personne ; la phrase a un sens métaphorique"
"N0 =: idée, N1 =: esprit";"binary";"N0 =: idée, N1 =: esprit";;", 34L0";"The subject can denote an idea and the object N1 a person's mind; the sentence has a metaphorical meaning";"Un flot d'idées ruisselait dans son esprit";"Le sujet peut dénoter une idée et l'objet N1 l'esprit d'une personne ; la phrase a un sens métaphorique"
"N0 =: le fait de V1-inf W";"binary";"N0 =: V1-inf W";;", 6";"The subject can take the form le fait que P, close to an infinitive clause with an implicit subject coreferent with an object N1";"Le fait de donner le bon mot de passe a autentifié Luc";"Le sujet peut prendre la forme le fait de V-inf W, proche d'une infinitive dont le sujet implicite est coréférent avec l'objet N1"
"N0 =: le fait Qu P";"binary";"N0 =: le fait Qu P";;", 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18";"The subject can take the form le fait que P, close to a sentential complement, and denote an abstract entity";"Le fait que Paul vienne me perturbe";"Le sujet peut prendre la forme le fait que P, proche d'une complétive, et dénoter une entité abstraite"
"N0 =: Nhum";"binary";"N0 =: Nhum";;", 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 31R, 32H, 32R3, 33, 34L0, 35L, 35R, 35S, 35ST, 36DT, 36R, 38L0, 38L1, 38RR";"The subject can denote a person, or an animal linguistically assimilated to a person";"Luc quitte la ville. L'ennemi quitte la ville";"Le sujet peut dénoter une personne ou un animal linguistiquement assimilé à une personne"
"N0 =: N-hum";"binary";"N0 =: N-hum";;", 31R, 32NM, 32R3, 33, 34L0, 35L, 35R, 35S, 35ST, 38L0, 38L1, 38RR";"The subject can denote an entity which is not a person, nor an animal linguistically assimilated to a person";"La voiture a croisé le camion ; Les fruits débordent sur les étals";"Le sujet peut dénoter une entité qui n'est pas une personne ni un animal linguistiquement assimilé à une personne"
"N0 =: N-hum métaphore";"binary";;;", 31H";"The subject can denote an entity which is not a person, nor an animal linguistically assimilated to a person; the sentence has a metaphorical meaning (N0 normally denotes obligatorily a person)";"Les nuages pérégrinent dans le ciel";"Le sujet peut dénoter une entité qui n'est pas une personne ni un animal linguistiquement assimilé à une personne ; la phrase a un sens métaphorique (N0 dénote normalement obligatoirement une personne)"
"N0 =: Nhum, (N1+N2) =: Nabs";"binary";"N0 =: Nhum, N1 =: Nabs";;", 35L";"The subject can denote a person and the locative object noted N1 or N2 an abstract entity; the sentence has a metaphorical meaning";"Paul chemine vers sa pensée";"Le sujet peut dénoter une personne et l'objet locatif noté N1 ou N2 une entité abstraite ; la phrase a un sens métaphorique"
"N0 =: Nhum, N1 =: Nabs";"binary";;;", 35LD, 35LR, 35LS";"The subject can denote a person and the locative object noted N1 an abstract entity; the sentence has a metaphorical meaning";"Paul fouille dans sa mémoire";"Le sujet peut dénoter une personne et l'objet locatif noté N1 une entité abstraite ; la phrase a un sens métaphorique"
"N0 =: Nhum, N1 =: mot";"binary";"Nhum V Nmot";;", 38L0";"The subject can denote a person and the object N1 words; the sentence has a metaphorical meaning";"Paul vomit des insultes ; Luc ingurgite mes paroles";"Le sujet peut dénoter une personne et l'objet N1 des paroles ; la phrase a un sens métaphorique"
"N0 =: Nnc";"binary";"N0 =: Nnc";;", 1";"The insertion of the verb into an independently observable sentence does not impose additional constraints on the subject";"Il pleut = Il continue de pleuvoir";"L'insertion du verbe dans une phrase observable indépendamment n'impose pas de contraintes supplémentaires sur le sujet"
"N0 =: Nnr";"binary";"N0 =: Nnr";;", 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 31R, 32H, 32NM, 32R2, 33, 34L0, 35L, 35R, 35S, 35ST";"The subject can denote a person, a concrete object, an abstract entity, or take the form of a sentential subject or an infinitive clause";"(Paul+Ce gâteau+L'amour+Que Paul vienne+Faire cela) ennuie Marie";"Le sujet peut dénoter une personne, un object concret, une entité abstraite, ou prendre la forme d'une complétive ou d'une infinitive"
"N0 =: Npl obl";"binary";"N0 =: Npl obl";;", 33, 34L0, 35L, 35R, 35ST";"The subject is obligatorily in the plural or has a collective interpretation";"Les missiles convergent sur la cible";"Le sujet est obligatoirement au pluriel ou a une interprétation collective"
"N0 =: Qu P";"binary";"N0 =: Qu P";;", 5";"The subject can be a sentential subject";"Que Marie vienne déplait à Luc";"Le sujet peut être une complétive"
"N0 =: V1c-inf W";"binary";"N0 =: V1c-inf W";;", 5";"The subject can be an infinitive clause with an implicit subject coreferent with a nominal post-modifier of a nominal object N1";"Se présenter aux élections a germé dans la tête de Paul";"Le sujet peut être une infinitive dont le sujet implicite est coréférent avec un complément de nom de l'objet N1"
"N0 =: V1-inf W";"binary";"N0 =: V1-inf W";;", 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18";"The subject can be an infinitive clause with an implicit subject coreferent with an object N1";"Faire du yoga calme Max ; Avoir ce diplôme a bénéficié à Luc";"Le sujet peut être une infinitive dont le sujet implicite est coréférent avec l'objet N1"
"N0 =: V2c-inf W";"binary";"N0 =: V2c-inf W";;", 10";"The subject can be an infinitive clause with an implicit subject coreferent with a nominal post-modifier of a nominal object N2";"Avoir vu ça écarte de l'esprit de Paul de se présenter";"Le sujet peut être une infinitive dont le sujet implicite est coréférent avec un complément de nom de l'objet N2"
"N0 =: V2-inf W";"binary";"N0 =: V2-inf W";;", 9, 10, 11, 13, 14, 15, 16, 18";"The subject can be an infinitive clause with an implicit subject coreferent with an object N2";"Avoir fait ça prouve à Luc qu'il est en forme";"Le sujet peut être une infinitive dont le sujet implicite est coréférent avec l'objet N2"
"N0 =: V3-inf W";"binary";"N0 =: V3-inf W";;", 18";"The subject can be an infinitive clause with an implicit subject coreferent with an object N3";"(no example known)";"Le sujet peut être une infinitive dont le sujet implicite est coréférent avec l'objet N3"
"N0 =: Vi-inf W";"binary";;;", 12";"The subject can be an infinitive clause with an implicit subject coreferent with the subject of a sentential complement N1";"Etre trop gros empêche Luc de passer dans le couloir";"Le sujet peut être une infinitive dont le sujet implicite est coréférent avec le sujet de la complétive objet N1"
"N0 =: V-inf W";"binary";"N0 =: V-inf W";;", 31R, 35L, 35R, 35S, 35ST";"The subject can be an infinitive clause";"Faire ce genre de truc pèche contre le bon sens";"Le sujet peut être une infinitive"
"N0 avoir V-n pour N1";"binary";"N0 a Dét V-n pour N1";;", 12";"Sentence with noun-centered argument structure, with the same subject, the verb avoir, a deverbal noun related with V, and an object pour N1";"Paul a de l'admiration pour Marie";"Phrase à prédicat nominal avec le même sujet, le verbe avoir, un nom déverbal lié à V, et un complément pour N1"
"N0 avoir V-n pour N1 (forme V-n)";"lexical";" ";;", 12";"Form of a deverbal noun related with V, used in a sentence with noun-centered argument structure, with the same subject, the verb avoir, the deverbal noun, and an object pour N1";"admiration";"Forme d'un nom déverbal lié à V dans une phrase à prédicat nominal avec le même sujet, le verbe avoir,  le nom déverbal, et un complément pour N1"
"N0 dé-V N1 Loc N3 nv-dest";"binary";"Pfx nég/nv dest";;", 38LD, 38LH, 38LR";"Sentence with the same subject, a verb derived from V with a negative prefix, the same object N1 and a locative object N3, interpreted as a new destination; the locative object N2 of the basic construction is interpreted as a source in this one";"On a bobiné le fil sur un crayon ; On a débobiné le fil sur le lit";"Phrase avec le même sujet, un verbe dérivé de V par un préfixe négatif, le même objet N1 et un objet locatif N3 interprété comme nouveau lieu de destination ; l'objet locatif N2 de la construction de base est interprété comme lieu source dans celle-ci"
"N0 dé-V N1 Prép N2 source";"binary";"Pfx nég/source";;", 36S, 36SL, 38LD, 38LH, 38LR";"Sentence with the same subject, a verb derived from V with a negative prefix, the same object N1 and the same locative object N2, interpreted as a source and possibly introduced by another preposition";"On charge les caisses sur la remorque = On décharge les caisses de la remorque";"Phrase avec le même sujet, un verbe dérivé de V par un préfixe négatif, le même objet N1 et le même objet locatif N2, interprété comme lieu source et éventuellement introduit par une autre préposition"
"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"binary";"Vop =: donner apparence";;", 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"Paraphrase of the form N0 donner une apparence Vpp à N1, or N0 donner une apparence de V-n à N1, where V-n is a deverbal noun related to V";"Ce colorant argente les cheveux = Ce colorant donne aux cheveux l'apparence de l'argent = Ce colorant donne aux cheveux une apparence argentée";"Paraphrase de la forme N0 donner une apparence Vpp à N1 ou N0 donner l'apparence de V-n à N1, où V-n est un nom déverbal lié à V"
"N0 donner à N1 (une apparence Vpp+l'apparence de V-n) (forme V-n)";"lexical";" ";;", 37M1";"Form of a deverbal noun related with V, used in a paraphrase of the form N0 donner une apparence Vpp à N1, or N0 donner une apparence de V-n à N1";"argent";"Forme d'un nom déverbal lié à V dans une paraphrase de la forme N0 donner une apparence Vpp à N1 ou N0 donner l'apparence de V-n à N1"
"N0 donner V-n à N1";"binary";"Vop =: donner";;", 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"Paraphrase of the form N0 donner V-n à N1, where V-n is a deverbal noun related to V";"Paul a armé Luc = Paul a donné une arme à Luc ; Luc a daté le vase du premier siècle = Luc a donné une date au vase";"Paraphrase de la forme N0 donner V-n à N1, où V-n est un nom déverbal lié à V"
"N0 donner V-n à N1 (forme V-n)";"lexical";" ";;", 37M1";"Form of a deverbal noun related with V, used in a paraphrase of the form N0 donner V-n à N1";"armée";"Forme d'un nom déverbal lié à V dans une paraphrase de la forme N0 donner V-n à N1"
