"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"Prép1";"thèmeN1";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N1 =: Nhum";"N0 lui V Prép N1pc";"N0 V Prép N0pc";"N1 =: N-hum";"N1 =: Qu Pind";"N1 =: Qu Psubj";"N1 =: V0-inf W";"N1 =: le fait Qu P";"Ppv =: y";"Ppv =: en";"N0 (E+Ppv) V (Prép+Prép-adv)";"N1 être V-n";"N1 =: Npl obl";"N0 V de N0pc W";"N0hum V W sur ce point";"N0 être V-ant Prép N1";"[extrap]";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"348";"~";"~";"~";"~";"~";"s'y";"+";"-";"-";"+";"-";"prendre Advt";"-";"-";"+";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'y prend tôt pour faire ça"
"349";"~";"~";"~";"~";"~";"ne";"-";"-";"-";"-";"+";"prendre";"+";"+";"-";"avec+sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce discours ne prend plus (avec+sur)Max"
"350";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"présenter";"-";"-";"+";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce médicament se présente sous forme de poudre"
"351";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"présumer";"-";"+";"-";"de";"capacités";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a présumé (de ses appuis+de Luc)"
"352";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"prier";"-";"+";"-";"pour";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max prie pour(E+l'âme de)Luc"
"353";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"procéder";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette attitude procède de la démagogie"
"354";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"profiter";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a profité de moi(E+dans cette affaire)"
"355";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"progresser";"-";"+";"-";"vers";"résultat";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Marie progresse (E+vers un mieux)"
"356";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"prononcer";"-";"-";"+";"sur";"question";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Luc s'est prononcé sur la peine de mort"
"357";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"prosterner";"-";"-";"+";"devant";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se prosterne devant(ses chefs+ce dieu)"
"358";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"protester";"-";"+";"-";"contre";"qqch";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max proteste contre ces abus"
"359";"~";"~";"~";"~";"~";"en";"-";"+";"-";"-";"-";"rabattre";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul en a beaucoup rabattu sur ses exigences"
"360";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"rabattre";"-";"-";"+";"sur";"solution";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max s'est rabattu sur une voiture moins chère"
"361";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"racler";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max racle de la guitare"
"362";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"raisonner";"-";"+";"-";"sur";"situation";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max raisonne sur la situation"
"363";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"ramper";"-";"+";"-";"devant";"autorité";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Max rampe devant l'autorité"
"364";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"rattraper";"-";"-";"+";"sur";"boisson";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s'est rattrapé du plat minable sur le fromage"
"365";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"réagir";"-";"+";"-";"sur";"<E>";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Le chômage a réagi sur l'économie"
"366";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"réagir";"-";"+";"-";"contre";"<E>";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"L'état a réagi contre l'absentéisme"
"367";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"rebeller";"-";"-";"+";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se rebelle contre les injustices"
"368";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"rebiffer";"-";"-";"+";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se rebiffe contre(Paul+l'injustice)"
"369";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"réclamer";"-";"+";"-";"au sujet de";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a réclamé au sujet de son auto"
"370";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"réclamer";"-";"+";"-";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a réclamé contre les abus"
"371";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"réclamer";"-";"+";"-";"après";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max réclame aprés Luc"
"372";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"recourir";"-";"+";"-";"contre";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a recouru contre Luc"
"373";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"reculer";"-";"+";"-";"devant";"problème";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max recule devant la difficulté"
"374";"~";"~";"~";"~";"~";"ne";"-";"-";"-";"-";"+";"reculer";"+";"+";"-";"devant";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max ne recule pas devant un(petit pastis+mensonge)"
"375";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"récupérer";"-";"+";"-";"de";"maladie";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a récupéré de sa maladie"
"376";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"redoubler";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max redouble d'angoisse"
"377";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"redoubler";"-";"+";"-";"de";"précautions";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Max redouble de vigilance"
"378";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"refaire";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est refait de ses pertes"
"379";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"regimber";"-";"-";"+";"contre";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Flo se regimbe (contre+contre)Max"
"380";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"régner";"-";"+";"-";"sur";"<E>";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max règne sur la cuisine"
"381";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"régresser";"-";"+";"-";"vers";"stade";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a régressé jusqu'à un stade infantile"
"382";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"rejeter";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est rejeté sur une voiture plus petite"
"383";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"relancer";"-";"+";"-";"de";"Dnum francs";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"relance";"Max a relancé de 100 F"
"384";"-";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"relever";"-";"+";"-";"de";"juridiction";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Le cas de Max relève de la cour d'appel"
"385";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"relever";"-";"+";"-";"de";"maladie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max relève d'une longue maladie"
"386";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"reluquer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max reluque sur le gateau d'Ida"
"387";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"renchérir";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a renchéri sur(ce point+luc)"
"388";"+";"+";"-";"+";"-";"<E>";"-";"-";"-";"-";"-";"renchérir";"-";"+";"-";"sur";"prix";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Paul a renchéri sur(le prix proposé par+E)Guy"
"389";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"rentrer";"-";"-";"+";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max est rentré dans Luc(à ce propos+sur ce point)"
"390";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"répandre";"-";"-";"+";"en";"salamalecs";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Ida se répand en(insultes+menaces+excuses+etc)"
"391";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"repasser";"-";"+";"-";"derrière";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max repasse derrière Luc"
"392";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"repasser";"-";"+";"-";"sur";"épreuves";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max repassera sur les épreuves"
"393";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"replonger";"-";"+";"-";"Loc";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida a replongé dans(la déprime+l'alcool)"
"394";"+";"-";"-";"-";"-";"en";"-";"+";"-";"-";"-";"reprendre";"-";"+";"-";"pour";"Dnum ans";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max en a repris pour dix ans"
"395";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"rescaper";"-";"+";"-";"de";"catastrophe";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a rescapé de la catastrophe"
"396";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"réserver";"-";"-";"+";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se réserve pour le dessert"
"397";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"resquiller";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max resquille sur la monnaie"
"398";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"ressortir";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette affaire ressortit du tribunal"
"399";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"rester";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max reste sur une déception"
"400";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"retarder";"-";"+";"-";"sur";"époque";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max retarde sur son siècle"
"401";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"retentir";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette affaire retentit sur(E+le moral de)Paul"
"402";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"retomber";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La faute est retombé sur Max"
"403";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"retourner";"-";"-";"+";"sur";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Paul se retourne sur les filles"
"404";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"retourner";"-";"-";"+";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'assurance se retourne contre le responsable"
"405";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"retourner";"-";"-";"+";"vers";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul s'est retourné vers(moi+ses parents)"
"406";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"retrancher";"-";"-";"+";"derrière";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se retranche derrière l'autorité"
"407";"-";"+";"-";"+";"-";"<E>";"-";"-";"-";"-";"-";"rétroagir";"-";"+";"-";"sur";"<E>";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Cette décision rétroagit sur l'année passée"
"408";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"retrouver";"-";"-";"+";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se retrouve dans(ses fiches+son fouillis)"
"409";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"réussir";"-";"+";"-";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a réussi dans la pub"
"410";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"réveillonner";"-";"+";"-";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"réveillon";"Max a réveillonné de dinde aux marrons"
"411";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"revenir";"-";"-";"+";"sur";"sujet";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La conversation revient sur les élections"
"412";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"revenir";"-";"-";"+";"sur";"opinion";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max est revenu sur(ses aveux+sa déclaration)"
"413";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"revenir";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max est revenu de (son évanouissement+sa surprise)"
"414";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"rêver";"-";"+";"-";"de";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"<E>";"rêve";"Max a rêvé d'Ida cette nuit"
"415";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"revivre";"-";"+";"-";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max revit dans(son fils+un chat)"
"416";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"révolter";"-";"-";"+";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se révolte contre l'autorité"
"417";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"rhabiller";"-";"-";"+";"à";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max(ira+pourra) se rhabiller à sa promotion"
"418";"~";"~";"~";"~";"~";"ne";"-";"-";"-";"-";"+";"rigoler";"+";"+";"-";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max ne rigole pas avec le règlement"
"419";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"ripailler";"-";"+";"-";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"<E>";"ripaille";"Max a ripaillé d'un coq en pâte"
"420";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"rire";"-";"-";"+";"de";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Léa se rit de moi"
"421";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"rogner";"-";"+";"-";"sur";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a rogné sur le budget de fonctionnement"
"422";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"rognonner";"-";"+";"-";"contre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max rognonne contre Léa"
"423";"+";"+";"-";"+";"-";"<E>";"-";"-";"-";"-";"-";"rompre";"-";"+";"-";"avec";"habitude";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max a rompu avec ses habitudes"
"424";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"rompre";"-";"+";"-";"devant";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a rompu devant les attaques"
"425";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"rouler";"-";"+";"-";"pour";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Bob roule pour ce parti"
"426";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"rouler";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La conversation roule sur les élections"
"427";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"rouler";"-";"+";"-";"sur";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Les stocks roulent sur deux mois"
"428";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"ruer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max s'est rué sur (son steak + ma proposition) "
"429";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"ruiner";"-";"-";"+";"en";"dépenses";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ida se ruine en vêtements"
"430";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"ruser";"-";"+";"-";"avec";"autorité";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max ruse avec l'administration"
"431";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"saisir";"-";"-";"+";"de";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La police s'est saisie du malfaiteur"
"432";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"saisir";"-";"-";"+";"de";"objet";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max se saisit de sa canne"
"433";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"saliver";"-";"+";"-";"devant";"nourriture";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max salive (E+d'envie)devant(Ida+le gâteau)"
"434";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"sandwicher";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max sandwiche tous les midis d'un jambon beurre"
