"<ID>";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0hum V W sur ce point";"N0 V vers N";"[extrap]";"N0idée V Loc N1esprit";"N0hum V Loc Nabs";"N0 =: N-hum métaphore";"N0 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"559";"-";"<E>";"-";"-";"-";"-";"-";"-";"siéger";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"La Cour siège le lundi";"to sit"
"560";"~";"<E>";"-";"-";"-";"-";"-";"-";"siester";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Marius sieste tous les jours";"?"
"561";"-";"se";"+";"-";"-";"-";"-";"-";"signer";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Ida s'est signée ";"?"
"562";"~";"se";"+";"-";"-";"-";"-";"-";"singulariser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul s'est encore singularisé dans cette affaire";"?"
"563";"~";"<E>";"-";"-";"-";"-";"-";"-";"siroter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Bob sirote ";"?"
"564";"~";"<E>";"-";"-";"-";"-";"-";"-";"socratiser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Platon socratise ";"?"
"565";"-";"<E>";"-";"-";"-";"-";"-";"-";"soliloquer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max soliloque ";"to soliloquize"
"566";"-";"<E>";"-";"-";"-";"-";"-";"-";"sommeiller";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"<E>";"Max sommeille sur son banc";"to doze"
"567";"~";"<E>";"-";"-";"-";"-";"-";"-";"somnanbuler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max somnambule (E+dans les couloirs+vers la porte)";"?"
"568";"~";"<E>";"-";"-";"-";"-";"-";"-";"somniloquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max somniloque ";"?"
"569";"-";"<E>";"-";"-";"-";"-";"-";"-";"somnoler";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"Max somnole sur son banc";"to doze"
"570";"~";"s'en";"+";"+";"-";"-";"-";"-";"sortir";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'en est sorti (E+vivant)";"?"
"571";"-";"<E>";"-";"-";"-";"-";"-";"-";"sortir  Adv";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max sort souvent ";"?"
"572";"~";"<E>";"-";"-";"-";"-";"-";"-";"soubresauter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a soubresauté ";"?"
"573";"-";"<E>";"-";"-";"-";"-";"-";"-";"souffler";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"le coureur souffle au dernier tour";"to puff"
"574";"-";"<E>";"-";"-";"-";"-";"-";"-";"souffler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"Max souffle après cette épreuve";"to give someone a breather"
"575";"-";"<E>";"-";"-";"-";"-";"-";"-";"souffrir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"Le malade souffre (E+de l'estomac)";"to suffer"
"576";"~";"<E>";"-";"-";"-";"-";"-";"-";"soupirer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max soupire ";"to sigh"
"577";"-";"<E>";"-";"-";"-";"-";"-";"-";"souquer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max souque vers la jetée";"to pull hard"
"578";"+";"<E>";"-";"-";"-";"-";"-";"-";"sourciller";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"sourcil";"Max a sourcillé devant ce spectacle";"to turn a hair"
"579";"-";"<E>";"-";"-";"-";"-";"-";"-";"subtiliser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Marcel subtilise sur ce point";"to subtilize"
"580";"~";"<E>";"-";"-";"-";"-";"-";"-";"sucer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max suce beaucoup";"?"
"581";"-";"se";"+";"-";"-";"-";"-";"-";"sucrer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max s'est sucré dans ce partage";"?"
"582";"-";"se";"+";"-";"-";"-";"-";"-";"suicider";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"Ida s'est suicidée ";"to commit suicide"
"583";"-";"<E>";"-";"-";"-";"-";"-";"-";"sursauter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"Max a sursauté ";"to jump"
"584";"~";"<E>";"-";"-";"-";"-";"-";"-";"swinguer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les danseurs swinguent sur la piste";"?"
"585";"~";"se";"+";"-";"-";"-";"-";"-";"taire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est tu (E+sur cet accident)";"?"
"586";"-";"<E>";"-";"-";"-";"-";"-";"-";"tambouiller";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max tambouille ";"to cook the grub"
"587";"-";"<E>";"-";"-";"-";"-";"-";"-";"tapiner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"Ida tapine (E+à Gap)";"to be on the game"
"588";"~";"se";"+";"-";"-";"-";"-";"-";"tartir";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max se tarti dans cette soirée";"?"
"589";"+";"<E>";"-";"-";"-";"-";"-";"-";"tatillonner";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"tatillon";"Max tatillonne (E+sur ce point)";"to be nit-picking"
"590";"~";"<E>";"-";"-";"-";"-";"-";"-";"tâtonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max tâtonne dans ce problème";"?"
"591";"-";"<E>";"-";"-";"-";"-";"-";"-";"temporiser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max temporise ";"to temporize"
"592";"-";"se";"+";"-";"-";"-";"-";"-";"tenir Advm";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"Max se tient bien ";"?"
"593";"-";"<E>";"-";"-";"-";"-";"-";"-";"terrasser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max terrasse dans son jardin";"to dig out"
"594";"~";"<E>";"-";"-";"-";"-";"-";"-";"théoriser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max théorise ";"?"
"595";"-";"<E>";"-";"-";"-";"-";"-";"-";"tituber";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max titube ";"to stagger"
"596";"~";"<E>";"-";"-";"-";"-";"-";"-";"tomber";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Dix soldats sont tombés (E+dans cette bataille)";"?"
"597";"-";"<E>";"-";"-";"-";"-";"-";"-";"tomber";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Le ministre est tombé ";"to fall"
"598";"-";"se";"+";"-";"-";"-";"-";"-";"torchecuter";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max se torchecute ";"?"
"599";"-";"se";"+";"-";"-";"-";"-";"-";"toucher";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Ida se touche ";"to masturbate"
"600";"-";"<E>";"-";"-";"-";"-";"-";"-";"tousser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"Max tousse ";"to cough"
"601";"~";"se";"+";"-";"-";"-";"-";"-";"trahir";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est trahi (E+dans cette déclaration)";"?"
"602";"~";"<E>";"-";"-";"-";"-";"-";"-";"traîner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max traîne (E+dans les rues)";"?"
"603";"-";"se";"+";"-";"-";"-";"-";"-";"transcender";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max s'est transcendé dans ce rôle";"?"
"604";"~";"<E>";"-";"-";"-";"-";"-";"-";"traquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Cet acteur traque avant de jouer";"?"
"605";"~";"<E>";"-";"-";"-";"-";"-";"-";"travailler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max travaille ";"?"
"606";"-";"<E>";"-";"-";"-";"-";"-";"-";"trépigner";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"Flo trépigne (E+de rage)que Max soit parti";"to stamp one's feet"
"607";"-";"<E>";"-";"-";"-";"-";"-";"-";"tressaillir";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"<E>";"Max tressaillit de surprise";"to start"
"608";"~";"<E>";"-";"-";"-";"-";"-";"-";"tressauter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max tressaute de surprise";"?"
"609";"~";"<E>";"-";"-";"-";"-";"-";"-";"tricher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a triché à son examen";"to cheat"
"610";"-";"<E>";"-";"-";"-";"-";"-";"-";"trimarder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Max trimarde dans le pays";"to be on the road"
"611";"-";"<E>";"-";"-";"-";"-";"-";"-";"trinquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"Max a trinqué dans l'accident";"to knock"
"612";"-";"<E>";"-";"-";"-";"-";"-";"-";"triompher";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"Flo a triomphé dans ce rôle";"to triumph"
"613";"~";"<E>";"-";"-";"-";"-";"-";"-";"tripper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max trippe sur(cette musique+le jogging)";"?"
"614";"-";"<E>";"-";"-";"-";"-";"-";"-";"triquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max trique comme un cerf";"to have a hard-on"
"615";"~";"se";"+";"-";"-";"-";"-";"-";"tromper";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est trompé (en comptant+dans son compte)";"?"
"616";"-";"s'y";"+";"-";"-";"-";"+";"-";"tromper";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max s'y est trompé tant ils sont ressemblants";"?"
"617";"~";"<E>";"-";"-";"-";"-";"-";"-";"truander";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a truandé (à l'examen+au bridge)";"to cheat"
"618";"~";"<E>";"-";"-";"-";"-";"-";"-";"truculer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max trucule dans les banquets";"?"
"619";"-";"<E>";"-";"-";"-";"-";"-";"-";"twister";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max twiste à St.Trop";"to twist"
"620";"-";"<E>";"-";"-";"-";"-";"-";"-";"varapper";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"<E>";"Max varappe à Gap";"?"
"621";"~";"<E>";"-";"-";"-";"-";"-";"-";"vaser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a vasé sur cette question";"?"
"622";"-";"<E>";"-";"-";"-";"-";"-";"-";"veiller";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max veille tard la nuit";"to stay up"
"623";"-";"<E>";"-";"-";"-";"-";"-";"-";"vêler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Io a vêlé ";"to calve"
"624";"-";"<E>";"-";"-";"-";"-";"-";"-";"versifier";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max versifie à ses moments perdus";"to write verse"
"625";"-";"<E>";"-";"-";"-";"-";"-";"-";"vétiller";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max vétille sur l'horaire";"to quibble over trifles"
"626";"~";"<E>";"-";"-";"-";"-";"-";"-";"vibrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les spectateurs ont vibré (E+à la vue du sang)";"?"
"627";"-";"<E>";"-";"-";"-";"-";"-";"-";"virer Adj";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"Max a viré gay";"?"
"628";"-";"<E>";"-";"-";"-";"-";"-";"-";"vivoter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"Max vivote ";"to rub"
"629";"~";"<E>";"-";"-";"-";"-";"-";"-";"vivre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max vit encore";"?"
"630";"-";"y";"-";"-";"-";"-";"+";"-";"voir Advm";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"Max y voit à peine";"?"
"631";"-";"n'y";"-";"-";"-";"-";"+";"+";"voir";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"Max n'y voit guère ";"?"
"632";"-";"en";"-";"+";"-";"-";"-";"-";"vouloir";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"Ce débutant en veut vraiment";"?"
"633";"-";"<E>";"-";"-";"-";"-";"-";"-";"voyager";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"<E>";"Max a voyagé en 1ère classe";"to travel"

