"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 être V-n";"N1 V";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N1 être V-n";"N0 V Nhum sur ce point";"N1 être Vpp W";"N1 =: Nconc métaphore";"N1 =: Nabs métaphore";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"634";"~";"~";"~";"~";"<E>";"-";"-";"sécher";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a séché son adversaire";"?"
"635";"+";"-";"-";"-";"<E>";"-";"-";"secouer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a secoué Ida";"to tick"
"636";"~";"~";"~";"~";"<E>";"-";"-";"secourir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On secourt les blessés";"?"
"637";"+";"-";"-";"-";"<E>";"-";"-";"séduire";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a séduit la femme de Luc";"to seduce"
"638";"+";"-";"-";"-";"<E>";"-";"-";"semer";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a semé (son suiveur+le peloton)";"to lose"
"639";"~";"~";"~";"~";"<E>";"-";"-";"seringuer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Bob a seringué Polo au 9 mm.";"to bump off"
"640";"+";"+";"-";"-";"<E>";"-";"-";"servir";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a servi (l'état+la patrie+le roi)";"to serve"
"641";"~";"~";"~";"~";"<E>";"-";"-";"sevrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida a sevré son fils";"?"
"642";"+";"-";"-";"-";"<E>";"-";"-";"siffler";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le client a sifflé le garçon";"to whistle for"
"643";"-";"+";"-";"-";"<E>";"-";"-";"sinistrer";"-";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"L'ouragan a sinistré la(région+zone)";"to cause a disaster to"
"644";"~";"~";"~";"~";"<E>";"-";"-";"snober";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida snobe Max";"to ignore"
"645";"~";"~";"~";"~";"<E>";"-";"-";"sodomiser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Igor a sodomisé Sven";"to bugger"
"646";"~";"~";"~";"~";"<E>";"-";"-";"soigner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max soigne ses invités";"?"
"647";"+";"-";"-";"-";"<E>";"-";"-";"sonner";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Flo a sonné la bonne";"to ring for"
"648";"~";"~";"~";"~";"ne";"-";"+";"sonner";"+";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max n'avait pas sonné Luc";"?"
"649";"~";"~";"~";"~";"<E>";"-";"-";"soudoyer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a soudoyé le juge";"?"
"650";"~";"~";"~";"~";"<E>";"-";"-";"souffleter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Flo a souffleté Igor";"to slap"
"651";"~";"~";"~";"~";"<E>";"-";"-";"soulever";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a soulevé une nana dans un bar";"to chat up"
"652";"~";"~";"~";"~";"<E>";"-";"-";"soumettre";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"L'armée a soumis |les rebelles de ce pays|";"?"
"653";"+";"+";"-";"-";"<E>";"-";"-";"sous-alimenter";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"La sécheresse a sous-alimenté la population";"to underfeed"
"654";"-";"+";"-";"-";"<E>";"-";"-";"spécialiser";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Ses études ont spécialisé Max dans ce domaine";"to make one a specialist"
"655";"~";"~";"~";"~";"<E>";"-";"-";"squeezer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Luc a squeezé Max dans cette affaire";"?"
"656";"+";"-";"-";"-";"<E>";"-";"-";"statufier";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"On a statufié Bob";"to erect a statue to"
"657";"+";"-";"+";"+";"<E>";"-";"-";"stipendier";"-";"+";"-";"+";"+";"-";"+";"+";"?";"?";"Max stipendie des(nervis+fonctionnaires)";"to hire"
"658";"+";"-";"-";"-";"<E>";"-";"-";"stranguler";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Bob a strangulé Ida";"to strangle"
"659";"+";"+";"-";"-";"<E>";"-";"-";"styler";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Cette éducation a stylé mes servantes";"to train"
"660";"+";"-";"-";"-";"<E>";"-";"-";"suborner";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a suborné les témoins";"to bribe"
"661";"+";"-";"-";"-";"<E>";"-";"-";"subvertir";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Max a subverti Ida";"to twist"
"662";"+";"-";"-";"-";"<E>";"-";"-";"sucer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ida suce Max";"to do a blow job to"
"663";"-";"+";"-";"+";"<E>";"-";"-";"suffoquer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La fumée a suffoqué Ida";"to suffocate"
"664";"~";"~";"~";"~";"<E>";"-";"-";"suicider";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a suicidé ce député";"?"
"665";"~";"~";"~";"~";"<E>";"-";"-";"suivre";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le médecin suit Luc(E+dans l'évolution de sa santé)";"?"
"666";"+";"-";"-";"-";"<E>";"-";"-";"supplanter";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max a supplanté Luc auprès de Léa";"to supplant"
"667";"~";"~";"~";"~";"<E>";"-";"-";"suppléer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a supplée Léa dans sa présidence";"?"
"668";"~";"~";"~";"~";"<E>";"-";"-";"supplicier";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les bourreaux ont supplicié le prisonnier";"to torture"
"669";"+";"-";"-";"-";"<E>";"-";"-";"supporter";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Le public a supporté l'équipe de France dans ce match";"to cheer"
"670";"+";"-";"-";"-";"<E>";"-";"-";"supprimer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Riton a supprimé Paulo";"to suppress"
"671";"~";"~";"~";"~";"<E>";"-";"-";"surdouer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La nature a surdoué cet enfant";"?"
"672";"+";"+";"-";"-";"<E>";"-";"-";"surentraîner";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a surentraîné le champion";"to overtrain"
"673";"~";"~";"~";"~";"<E>";"-";"-";"suriner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Bob a suriné Max";"to stab"
"674";"~";"~";"~";"~";"<E>";"-";"-";"surprendre Adv";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La tempête a surpris (à Gap+au mauvais moment)";"?"
"675";"~";"~";"~";"~";"<E>";"-";"-";"tabasser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les truands ont tabassé Luc";"to beat up"
"676";"~";"~";"~";"~";"<E>";"-";"-";"tacler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"L'arrière a taclé l'attaquant";"to tackle"
"677";"~";"~";"~";"~";"<E>";"-";"-";"talonner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le chef talonne Luc pour qu'il finisse";"?"
"678";"~";"~";"~";"~";"se";"+";"-";"taper";"-";"-";"+";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se tape une fille";"?"
"679";"~";"~";"~";"~";"<E>";"-";"-";"tarabuster";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Léa tarabuste Max pour qu'il travaille";"?"
"680";"~";"~";"~";"~";"<E>";"-";"-";"tenir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La passion du jeu tient Luc";"to possess"
"681";"~";"~";"~";"~";"<E>";"-";"-";"tenir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La police tient (un suspect+le coupable)";"?"
"682";"+";"-";"-";"-";"<E>";"-";"-";"tenir";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max tient Luc dans les sondages(E+sur ce point)";"to equal"
"683";"~";"~";"~";"~";"<E>";"-";"-";"tenir Advm";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le prof tient bien ses élèves";"?"
"684";"~";"~";"~";"~";"<E>";"-";"-";"tenir Advt";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a tenu Ida pendant un quart d'heure";"?"
"685";"~";"~";"~";"~";"<E>";"-";"-";"tenter";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Léa tente Max par des promesses";"?"
"686";"+";"-";"-";"-";"<E>";"-";"-";"terrasser";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max a terrassé son adversaire";"to bring down"
"687";"+";"-";"-";"-";"<E>";"-";"-";"tirer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Paulo a tiré Ida";"to screw"
"688";"+";"-";"+";"-";"<E>";"-";"-";"toiser";"-";"+";"-";"-";"-";"-";"-";"-";"?";"<E>";"Luc toise son adversaire";"to eye scornfully"
"689";"+";"-";"-";"-";"<E>";"-";"-";"tomber";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Kid a tombé Joe au second round";"to knock down"
"690";"-";"-";"-";"-";"<E>";"-";"-";"tomber";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max tombe les filles";"to seduce"
"691";"+";"-";"-";"-";"<E>";"-";"-";"toréer";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"taureau";"Luis torée des vachettes";"to fight"
"692";"+";"-";"-";"-";"<E>";"-";"-";"torgnoler";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a torgnolé (E+la gueule de Flo)";"to clout"
"693";"+";"-";"-";"-";"<E>";"-";"-";"torturer";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Le geôlier a torturé Max";"to torture"
"694";"+";"-";"+";"-";"<E>";"-";"-";"trahir";"-";"+";"-";"-";"-";"-";"-";"+";"traître";"<E>";"Ses nerfs l'ont trahi ";"to fail"
"695";"+";"-";"-";"-";"<E>";"-";"-";"traiter";"-";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Max traite cent invités";"to entertain"
"696";"+";"-";"-";"-";"<E>";"-";"-";"traiter Advm";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max traite bien ses enfants";"?"
"697";"~";"~";"~";"~";"<E>";"-";"-";"transir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La vue de Bob transit Max d'horreur";"?"
"698";"~";"~";"~";"~";"<E>";"-";"-";"trapper";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le trappeur trappe l'ours";"?"
"699";"+";"-";"-";"-";"<E>";"-";"-";"traquer";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Le fisc traque Flo";"to hound"
"700";"~";"~";"~";"~";"<E>";"-";"-";"travailler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le boxeur travaille son adversaire corps";"?"
"701";"~";"~";"~";"~";"<E>";"-";"-";"trépaner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a trépané (E+le crâne de)Max";"?"
"702";"+";"-";"+";"-";"<E>";"-";"-";"trépaner";"-";"+";"-";"-";"-";"+";"-";"-";"trépan";"<E>";"On a trépané le sol(E+avec un trépan)";"to trepan"
"703";"~";"~";"~";"~";"<E>";"-";"-";"tringler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a tringlé Flo";"to screw"
"704";"~";"~";"~";"~";"<E>";"-";"-";"triquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a triqué Ida";"to screw"
"705";"+";"-";"-";"-";"<E>";"-";"-";"trisser";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max trombine Flo";"to screw"
"706";"~";"~";"~";"~";"<E>";"-";"-";"trombiner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max trombine Flo";"to screw"
"707";"~";"~";"~";"~";"<E>";"-";"-";"trombonner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max trombonne Flo";"to screw"
"708";"+";"-";"-";"-";"<E>";"-";"-";"tromper";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Le buteur a trompé le gardien";"to dummy"
"709";"~";"~";"~";"~";"<E>";"-";"-";"troncher";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a tronché Ida";"to screw"
"710";"+";"-";"-";"-";"<E>";"-";"-";"trousser";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a troussé Flo derrière la grange";"to tumble"
"711";"+";"-";"-";"-";"<E>";"-";"-";"trucider";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max a trucidé un ours";"to bump off"
"712";"+";"+";"-";"-";"<E>";"-";"-";"tuer";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a tué Azor";"to kill"
"713";"+";"-";"-";"-";"<E>";"-";"-";"tutoyer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max tutoie Léa";"to use 'tu' when speaking to"
"714";"~";"~";"~";"~";"<E>";"-";"-";"tyranniser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tyrannise ses élèves";"to tyrannize"
"715";"+";"+";"-";"-";"<E>";"-";"-";"vaincre";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"Swen a vaincu les Huns";"to defeat"
"716";"+";"-";"+";"-";"<E>";"-";"-";"vamper";"-";"+";"-";"-";"-";"-";"-";"-";"vamp";"<E>";"Flo a vampé Swen";"to accost"
"717";"~";"~";"~";"~";"<E>";"-";"-";"vasectomiser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le chirurgien a vasectomisé Max";"?"
"718";"+";"-";"-";"-";"<E>";"-";"-";"veiller";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max veille (Ida+le cadavre)";"to watch over"
"719";"~";"~";"~";"~";"<E>";"-";"-";"verbaliser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le flic a verbalisé Luc";"?"
"720";"-";"+";"+";"+";"<E>";"-";"-";"véroler";"-";"+";"-";"+";"+";"-";"+";"+";"vérole";"?";"Lola a vérolé tout l'étage";"to give the pox to"
"721";"+";"+";"-";"-";"<E>";"-";"-";"violenter";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Ida a violenté Bob";"to assault"
"722";"+";"-";"-";"-";"<E>";"-";"-";"violer";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Ida a violé Bob";"to rape"
"723";"~";"~";"~";"~";"<E>";"-";"-";"viser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette mesure vise les fonctionnaires";"?"
"724";"+";"-";"-";"-";"<E>";"-";"-";"visiter";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a visité Ida";"to visit"
"725";"~";"~";"~";"~";"<E>";"-";"-";"visser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max visse Léa";"?"
"726";"~";"~";"~";"~";"<E>";"-";"-";"voir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le patron verra Max à 10 heures";"to see"
"727";"+";"-";"-";"-";"<E>";"-";"-";"voir";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max voit Ida depuis un an";"to go around with"
"728";"~";"~";"~";"~";"<E>";"-";"-";"voussoyer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max voussoie Ida";"to use 'vous' when speaking to"
"729";"+";"-";"-";"-";"<E>";"-";"-";"vouvoyer";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max vouvoie Ida";"to use 'vous' when speaking to"
"730";"+";"-";"-";"-";"<E>";"-";"-";"zigouiller";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max a zigouillé Bob";"to do in"

