"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"thèmeN1";"N0 V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"V-n instrument";"N1 être Vpp W";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"654";"~";"~";"<E>";"-";"-";"planifier";"-";"+";"-";"temps";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul planifie son temps"
"655";"+";"-";"<E>";"-";"-";"planter là";"-";"+";"-";"activité";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max a planté là ses activités"
"656";"~";"~";"<E>";"-";"-";"plaquer";"-";"+";"-";"travail";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul a plaqué son travail"
"657";"~";"~";"<E>";"-";"-";"plébisciter";"-";"+";"-";"loi";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le peuple a plébiscité cette loi"
"658";"+";"-";"<E>";"-";"-";"plier";"-";"+";"-";"voiture";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a plié sa voiture"
"659";"~";"~";"<E>";"-";"-";"polariser";"-";"+";"-";"rayon";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a polarisé les rayons lumineux"
"660";"~";"~";"<E>";"-";"-";"ponter";"-";"+";"-";"argent";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le joueur a ponté de l'argent"
"661";"+";"-";"<E>";"-";"-";"porter";"-";"+";"-";"barbe";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max porte la barbe"
"662";"+";"-";"<E>";"-";"-";"porter";"-";"+";"-";"enfant";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"La femme porte son enfant pendant neuf mois"
"663";"~";"~";"<E>";"-";"-";"porter";"-";"+";"-";"nom";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cet objet porte un drôle de nom"
"664";"~";"~";"<E>";"-";"-";"poser";"-";"+";"-";"congé";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max à posé un jour de congé"
"665";"+";"-";"<E>";"-";"-";"poser";"-";"+";"-";"addition";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"L'élève a posé son addition"
"666";"+";"-";"<E>";"-";"-";"positionner";"-";"+";"-";"produit";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a mal positionné ce produit"
"667";"~";"~";"<E>";"-";"-";"posséder Advm";"-";"+";"-";"<E>";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max possède cette discipline"
"668";"~";"~";"<E>";"-";"-";"postérioriser";"-";"+";"-";"phonème";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max postériorise ce phonème"
"669";"+";"-";"<E>";"-";"-";"pourvoir";"-";"+";"-";"poste";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"On a pourvu ce poste vacant"
"670";"+";"-";"<E>";"-";"-";"pousser";"-";"+";"-";"verrou";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a poussé le verrou"
"671";"~";"~";"<E>";"-";"-";"pousser";"-";"+";"-";"chanson";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a poussé la chanson"
"672";"~";"~";"<E>";"-";"-";"pratiquer";"-";"+";"-";"tarif";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cette entreprise pratique des tarifs élevés"
"673";"~";"~";"<E>";"-";"-";"pratiquer";"-";"+";"-";"religion";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max pratique une religion"
"674";"~";"~";"<E>";"-";"-";"pratiquer";"-";"+";"-";"humour";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max pratique l'humour"
"675";"~";"~";"<E>";"-";"-";"pratiquer";"-";"+";"-";"médecine";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max pratique la médecine"
"676";"~";"~";"<E>";"-";"-";"pratiquer";"-";"+";"-";"auteur";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max pratique un auteur"
"677";"~";"~";"<E>";"-";"-";"pratiquer";"-";"+";"-";"instrument";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max pratique un instrument de musique"
"678";"~";"~";"<E>";"-";"-";"pratiquer";"-";"+";"-";"sport";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max pratique un sport"
"679";"~";"~";"<E>";"-";"-";"pratiquer";"-";"+";"-";"langue";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max pratique une langue"
"680";"~";"~";"<E>";"-";"-";"prêcher";"-";"+";"-";"parole";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Il est parti prêcher la bonne parole"
"681";"~";"~";"<E>";"-";"-";"prédéterminer";"-";"+";"-";"mot";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"ce groupe nominal prédétermine le mot qui suit"
"682";"+";"-";"<E>";"-";"-";"prendre";"-";"+";"-";"bus";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a pris le bus"
"683";"~";"~";"<E>";"-";"-";"prendre";"-";"+";"-";"maladie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a pris dix ans depuis sa maladie"
"684";"~";"~";"<E>";"-";"-";"prendre";"-";"+";"-";"prison";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a pris dix ans de prison"
"685";"~";"~";"<E>";"-";"-";"prendre";"-";"+";"-";"ville";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a pris la ville"
"686";"+";"-";"<E>";"-";"-";"prendre";"-";"+";"-";"exemple";"-";"-";"-";"-";"+";"-";"-";"prise";"?";"Max a pris l'exemple du Brésil"
"687";"~";"~";"<E>";"-";"-";"prendre";"-";"+";"-";"animal";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a pris un animal"
"688";"~";"~";"<E>";"-";"-";"préparer";"-";"+";"-";"examen";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max prépare (le bac+une grande école) "
"689";"~";"~";"<E>";"-";"-";"prescrire";"-";"+";"-";"délit";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La loi a prescrit ce genre de délit"
"690";"~";"~";"<E>";"-";"-";"présenter";"-";"+";"-";"examen";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a présenté un examen"
"691";"~";"~";"<E>";"-";"-";"préserver";"-";"+";"-";"espèce";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'état préserve cette espèce animale"
"692";"~";"~";"<E>";"-";"-";"présider";"-";"+";"-";"banquet";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max préside le banquet"
"693";"~";"~";"<E>";"-";"-";"présider";"-";"+";"-";"association";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max préside cette association"
"694";"~";"~";"<E>";"-";"-";"présonoriser";"-";"+";"-";"film";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On présonorise les films"
"695";"~";"~";"<E>";"-";"-";"prêter";"-";"+";"-";"voix";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max prête sa voix à Burt Lancaster dans ce film"
"696";"~";"~";"<E>";"-";"-";"prévenir";"-";"+";"-";"critique";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a prévenu les critiques"
"697";"+";"-";"<E>";"-";"-";"prier";"-";"+";"-";"dieu";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max prie Dieu"
"698";"~";"~";"<E>";"-";"-";"prodiguer";"-";"+";"-";"argent";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max prodigue son argent"
"699";"+";"-";"<E>";"-";"-";"produire";"-";"+";"-";"spectacle";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a produit ce spectacle"
"700";"~";"~";"<E>";"-";"-";"profaner";"-";"+";"-";"lieu";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a profané ce lieu sacré"
"701";"+";"-";"<E>";"-";"-";"professer";"-";"+";"-";"discipline";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max professe cette discipline"
"702";"~";"~";"<E>";"-";"-";"projeter";"-";"+";"-";"film";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max projette de vieux films"
"703";"~";"~";"<E>";"-";"-";"prolonger";"-";"+";"-";"malade";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les médecins ont prolongé ce malade"
"704";"+";"-";"<E>";"-";"-";"promener";"-";"+";"-";"chien";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max promène son chien tous les soirs"
"705";"+";"-";"<E>";"-";"-";"prononcer";"-";"+";"-";"décision";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a prononcé une décision"
"706";"+";"-";"<E>";"-";"-";"prononcer";"-";"+";"-";"discours";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Paul prononce un discours"
"707";"~";"~";"<E>";"-";"-";"prononcer Advm";"-";"+";"-";"discours";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max prononce mal son discours"
"708";"-";"+";"<E>";"-";"-";"propulser";"-";"+";"-";"véhicule";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"On propulse le véhicule avec une hélice"
"709";"~";"~";"<E>";"-";"-";"proroger Advfut";"-";"+";"-";"carte";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a prorogé la validité de la carte"
"710";"~";"~";"<E>";"-";"-";"prospecter";"-";"+";"-";"sol";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le géologue a prospecté le sol pour trouver du pétrole"
"711";"+";"-";"<E>";"-";"-";"protéger";"-";"+";"-";"commerçant";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Ce gang protège ce commerçant"
"712";"~";"~";"<E>";"-";"-";"protéger";"-";"+";"-";"arts";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'état protège les arts"
"713";"~";"~";"<E>";"-";"-";"protéger";"-";"+";"-";"libertés";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'état protège les libertés"
"714";"+";"-";"<E>";"-";"-";"purger";"-";"+";"-";"peine";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max purge un peine de dix ans"
"715";"~";"~";"<E>";"-";"-";"puter";"-";"+";"-";"balle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a  puté la balle de golf"
"716";"~";"~";"<E>";"-";"-";"qualifier";"-";"+";"-";"nom";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On qualifie le nom"
"717";"+";"-";"<E>";"-";"-";"rabâcher";"-";"+";"-";"leçon";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max rabâche ses leçons"
"718";"+";"-";"<E>";"-";"-";"rabattre";"-";"+";"-";"prétentions";"+";"+";"-";"-";"-";"+";"-";"<E>";"?";"Max rabat ses prétentions"
"719";"+";"-";"<E>";"-";"-";"raccrocher";"-";"+";"-";"téléphone";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a raccroché le téléphone"
"720";"~";"~";"<E>";"-";"-";"racheter";"-";"+";"-";"candidat";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le jury a racheté ce candidat"
"721";"~";"~";"<E>";"-";"-";"racler";"-";"+";"-";"gorge";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce vin racle la gorge"
"722";"~";"~";"<E>";"-";"-";"radariser";"-";"+";"-";"véhicule";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Les flics ont radarisé ce véhicule"
"723";"~";"~";"<E>";"-";"-";"radiographier";"-";"+";"-";"opinion";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cet institut a radiographié l'opinion publique"
"724";"+";"-";"<E>";"-";"-";"radouber";"-";"+";"-";"bateau";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"On a radoubé le bateau"
"725";"+";"-";"<E>";"-";"-";"radouber";"-";"+";"-";"filet";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Loïc a radoubé le filet"
"726";"+";"-";"<E>";"-";"-";"rafraîchir";"-";"+";"-";"barbe";"-";"-";"-";"+";"+";"+";"-";"rafraîchissement";"?";"Marie a rafraîchit la barbe de Luc"
"727";"~";"~";"<E>";"-";"-";"rallumer";"-";"+";"-";"haine";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"cette affaire a rallumé la haine"
"728";"~";"~";"<E>";"-";"-";"ranimer";"-";"+";"-";"colère";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ceci a ranimé la colère de Max"
"729";"~";"~";"<E>";"-";"-";"ranimer";"-";"+";"-";"feu";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a ranimé le feu"
"730";"~";"~";"<E>";"-";"-";"rapatrier";"-";"+";"-";"capitaux";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a rapatrié ses capitaux"
"731";"~";"~";"<E>";"-";"-";"râper";"-";"+";"-";"peau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce tissu râpe la peau"
"732";"+";"-";"<E>";"-";"-";"rapporter";"-";"+";"-";"mesure";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a rapporté cette mesure"
"733";"+";"-";"<E>";"-";"-";"rater";"-";"+";"-";"marche";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a raté la marche"
"734";"~";"~";"<E>";"-";"-";"rater";"-";"+";"-";"occasion";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a raté l'occasion"
"735";"~";"~";"<E>";"-";"-";"rater";"-";"+";"-";"cible";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a raté la cible"
"736";"~";"~";"<E>";"-";"-";"ratiboiser";"-";"+";"-";"cheveux";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce coiffeur ratiboise les cheveux à Max"
"737";"~";"~";"<E>";"-";"-";"ratifier";"-";"+";"-";"traité";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a ratifié ce traité"
"738";"+";"-";"<E>";"-";"-";"rattraper";"-";"+";"-";"balle";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a rattrapé la balle"
"739";"~";"~";"<E>";"-";"-";"rattraper";"-";"+";"-";"sauce";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Marie a rattrapé la sauce"
"740";"~";"~";"<E>";"-";"-";"rattraper";"-";"+";"-";"candidat";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le jury a rattrapé le candidat à l'oral"
"741";"+";"-";"<E>";"-";"-";"ravaler";"-";"+";"-";"colère";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max a ravalé sa colère"
"742";"-";"-";"<E>";"-";"-";"raviver";"-";"+";"-";"douleur";"+";"+";"-";"+";"-";"+";"-";"<E>";"?";"Ce souvenir ravive sa douleur"
"743";"~";"~";"<E>";"-";"-";"réaliser";"-";"+";"-";"biens";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a réalisé ses biens en dollars"
"744";"~";"~";"<E>";"-";"-";"réaliser";"-";"+";"-";"film";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a réalisé ce film"
"745";"~";"~";"<E>";"-";"-";"réceptionner";"-";"+";"-";"ballon";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'avant a réceptionné le ballon"
"746";"+";"+";"<E>";"-";"-";"recevoir";"-";"+";"-";"radio";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max reçoit la radio"
"747";"~";"~";"<E>";"-";"-";"réciter";"-";"+";"-";"poème";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max récite des poèmes"
"748";"~";"~";"<E>";"-";"-";"reclasser";"-";"+";"-";"fonctionnaire";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a reclassé les fonctionnaires"
"749";"+";"-";"<E>";"-";"-";"recommander";"-";"+";"-";"lettre";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a recommandé sa lettre"
"750";"+";"-";"<E>";"-";"-";"reconnaître";"-";"+";"-";"cadavre";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a reconnu le cadavre"
"751";"+";"-";"<E>";"-";"-";"reconnaître";"-";"+";"-";"talent";"-";"-";"-";"+";"-";"+";"-";"<E>";"?";"Le public a reconnu le talent de Max"
"752";"+";"-";"<E>";"-";"-";"reconstituer";"-";"+";"-";"forces";"-";"-";"+";"+";"-";"-";"-";"<E>";"?";"Max reconstitue ses forces"
"753";"~";"~";"<E>";"-";"-";"recouper";"-";"+";"-";"vêtement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Le tailleur recoupe son vêtement"
"754";"+";"-";"<E>";"-";"-";"recouvrer";"-";"+";"-";"créance";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Cet organisme recouvre les(créances+impôts)"
"755";"~";"~";"<E>";"-";"-";"rectifier";"-";"+";"-";"pièce";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a rectifié la pièce"
"756";"~";"~";"<E>";"-";"-";"rectifier";"-";"+";"-";"mélange";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On rectifie le mélange"
"757";"+";"-";"<E>";"-";"-";"recuire";"-";"+";"-";"métal";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max recuit les métaux"
"758";"-";"+";"<E>";"-";"-";"recuire";"-";"+";"-";"peau";"-";"+";"-";"+";"-";"+";"-";"<E>";"?";"Le soleil recuit la peau de Max"
"759";"+";"-";"<E>";"-";"-";"récupérer";"-";"+";"-";"jours";"+";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a récupéré ses jours de vacances"
"760";"+";"-";"<E>";"-";"-";"récupérer";"-";"+";"-";"usage de N";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a récupéré l'usage de ses forces"
"761";"+";"-";"<E>";"-";"-";"récuser";"-";"+";"-";"témoin";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a récusé le témoin"
"762";"+";"-";"<E>";"-";"-";"redoubler";"-";"+";"-";"classe";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max a redoublé sa classe de 7ème"
"763";"+";"-";"<E>";"-";"-";"redresser";"-";"+";"-";"abus";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Superman redresse les abus de Max"
"764";"+";"-";"<E>";"-";"-";"redresser";"-";"+";"-";"voiture";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max redresse la voiture après le virage"
"765";"+";"-";"<E>";"-";"-";"réduire";"-";"+";"-";"équation";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a réduit l'équation"
"766";"~";"~";"<E>";"-";"-";"réduire";"-";"+";"-";"sauce";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ida a réduit la sauce"
"767";"~";"~";"<E>";"-";"-";"réévaluer";"-";"+";"-";"monnaie";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a réévalué cette monnaie"
"768";"~";"~";"<E>";"-";"-";"refaire";"-";"+";"-";"appartement";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Bob refait son appartement"
"769";"~";"~";"<E>";"-";"-";"refendre";"-";"+";"-";"bois";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max refend le bois"
"770";"~";"~";"<E>";"-";"-";"refendre";"-";"+";"-";"peau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max refend les peaux"
"771";"+";"-";"<E>";"-";"-";"réformer";"-";"+";"-";"institution";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Le gouvernement a réformé les institutions"
"772";"~";"~";"<E>";"-";"-";"refouler";"-";"+";"-";"colère";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max refoule sa colère"
"773";"~";"~";"<E>";"-";"-";"refuser";"-";"+";"-";"examen";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a refusé Paul à(cet examen+ce concours)"
"774";"~";"~";"<E>";"-";"-";"réfuter";"-";"+";"-";"argument";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a réfuté les arguments de Luc"
"775";"~";"~";"<E>";"-";"-";"regagner";"-";"+";"-";"argent";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a regagné son argent"
"776";"~";"~";"<E>";"-";"-";"regarder";"-";"+";"-";"spectacle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max regarde le spectacle"
"777";"+";"-";"ne";"-";"+";"regarder que";"+";"+";"-";"intérêt";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max ne regarde que son intérêt"
"778";"-";"+";"<E>";"-";"-";"régir";"-";"+";"-";"datif";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Ce verbe régit le datif"
"779";"~";"~";"<E>";"-";"-";"régir";"-";"+";"-";"complément";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce verbe régit deux compléments"
"780";"+";"-";"<E>";"-";"-";"réhabiliter";"-";"+";"-";"quartier";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"La municipalité a réhabilité ce quartier"
"781";"~";"~";"<E>";"-";"-";"réhydrater";"-";"+";"-";"peau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ce produit réhydrate la peau"
"782";"~";"~";"<E>";"-";"-";"réifier";"-";"+";"-";"concept";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'artiste a réifié ce concept"
"783";"~";"~";"<E>";"-";"-";"rejeter";"-";"+";"-";"faute";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Paul rejette la faute sur Max"
"784";"~";"~";"<E>";"-";"-";"relâcher";"-";"+";"-";"muscle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Cette drogue relâche les muscles"
"785";"~";"~";"<E>";"-";"-";"relever";"-";"+";"-";"entreprise";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Ces mesures ont relevé cette entreprise"
"786";"+";"-";"<E>";"-";"-";"relever";"-";"+";"-";"copies";"-";"-";"-";"+";"-";"+";"-";"<E>";"?";"Max relève les copies"
"787";"+";"-";"<E>";"-";"-";"relever";"-";"+";"-";"virage";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max relève les virages"
"788";"+";"-";"<E>";"-";"-";"relire";"-";"+";"-";"épreuves";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Le correcteur a relu les épreuves"
"789";"~";"~";"<E>";"-";"-";"remailler";"-";"+";"-";"filet";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a remaillé les filets"
"790";"+";"-";"<E>";"-";"-";"remettre";"-";"+";"-";"tournée";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a remis une tournée"
"791";"+";"-";"<E>";"-";"-";"remonter";"-";"+";"-";"ressort";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a remonté le ressort de la montre"
"792";"~";"~";"<E>";"-";"-";"remonter";"-";"+";"-";"niveau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"La crue a remonté le niveau de la rivière"
"793";"~";"~";"<E>";"-";"-";"remonter";"-";"+";"-";"filière";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"L'enquêteur remonte la filière"
"794";"~";"~";"<E>";"-";"-";"rempiéter";"-";"+";"-";"bas";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Léa a rempiété son bas"
"795";"+";"-";"<E>";"-";"-";"remplir";"-";"+";"-";"formulaire";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a rempli un formulaire"
"796";"~";"~";"<E>";"-";"-";"remporter";"-";"+";"-";"succès";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a remporté des (succès + victoires) "
"797";"~";"~";"<E>";"-";"-";"remuer";"-";"+";"-";"lèvre";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max remue les lèvres"
"798";"~";"~";"<E>";"-";"-";"renflouer";"-";"+";"-";"bateau";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a renfloué le bateau"
"799";"~";"~";"<E>";"-";"-";"renfoncer";"-";"+";"-";"sentiment";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max renfonce son sentiment"
"800";"+";"-";"<E>";"-";"-";"renouer";"-";"+";"-";"relations";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a renoué sa relation"
"801";"+";"-";"<E>";"-";"-";"renouveler";"-";"+";"-";"abonnement";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"On a renouvelé (le contrat+le bail+l'abonnement)"
"802";"+";"-";"<E>";"-";"-";"renouveler";"-";"+";"-";"demande";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max a renouvelé sa demande"
"803";"+";"-";"<E>";"-";"-";"renouveler";"-";"+";"-";"document officiel";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a renouvelé son passeport"
"804";"~";"~";"<E>";"-";"-";"rentrer";"-";"+";"-";"colère";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a rentré sa colère"
"805";"+";"-";"<E>";"-";"-";"renverser";"-";"+";"-";"ordre de Npl";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a renversé l'ordre des arguments"
"806";"+";"-";"<E>";"-";"-";"renverser";"-";"+";"-";"plans";"+";"-";"-";"-";"-";"+";"-";"<E>";"?";"Qu'Ida parte renverse les plans de Max"
"807";"~";"~";"<E>";"-";"-";"renverser";"-";"+";"-";"piéton";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a renversé un piéton"
"808";"+";"-";"<E>";"-";"-";"réouvrir";"-";"+";"-";"établissement";"-";"+";"-";"+";"-";"+";"-";"<E>";"?";"On a réouvert la salle de jeu"
"809";"~";"~";"<E>";"-";"-";"réparer";"-";"+";"-";"panne";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a réparé la panne de la télé"
"810";"+";"-";"<E>";"-";"-";"repasser";"-";"+";"-";"ciseaux";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max a repassé ses ciseaux"
"811";"+";"-";"<E>";"-";"-";"repasser";"-";"+";"-";"leçon";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a repassé ses leçons"
"812";"+";"-";"<E>";"-";"-";"répéter";"-";"+";"-";"leçon";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max répète sa leçon"
"813";"+";"-";"<E>";"-";"-";"répéter";"-";"+";"-";"pièce de théâtre";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max répète la pièce de théâtre"
"814";"~";"~";"<E>";"-";"-";"reposer";"-";"+";"-";"muscle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max repose ses muscles"
"815";"~";"~";"<E>";"-";"-";"reprendre";"-";"+";"-";"entreprise";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"Max a repris l'entreprise familiale"
"816";"~";"~";"<E>";"-";"-";"reprendre";"-";"+";"-";"travail";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On reprend (le travail+l'activité) "
"817";"+";"-";"<E>";"-";"-";"reprendre";"-";"+";"-";"refrain";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Les enfants ont repris le refrain (E+en choeur) "
"818";"~";"~";"<E>";"-";"-";"reprendre";"-";"+";"-";"spectacle";"~";"~";"~";"~";"~";"~";"~";"<E>";"?";"On a repris (ce spectacle+cette pièce de théâtre) "
